conductivity_S_per_m,fem_resistance_ohm,analytical_resistance_ohm,relative_error_percent
0.25,8.000000000000068,8.0,8.43769498715119e-13
0.5,4.000000000000032,4.0,7.993605777301127e-13
1.0,2.000000000000017,2.0,8.43769498715119e-13
2.0,1.000000000000008,1.0,7.993605777301127e-13
4.0,0.5000000000000042,0.5,8.43769498715119e-13
8.0,0.250000000000002,0.25,7.993605777301127e-13
