time_hours,R_control_ohm,R_test_ohm,delta_R_ohm,fpga_decision
0.0,2.000224077743123,2.000224077743123,0.0,MEASURING
2.5,2.000673183423095,2.0001749824807633,-0.0004982009423315503,STABLE
5.0,2.001927134829,2.000136563273357,-0.0017905715556429946,STOP
7.5,2.0048755755918677,2.0001065301775065,-0.004769045414361184,STOP
10.0,2.0096873750653055,2.0000830719914706,-0.009604303073834863,STOP
