delta_sigma_percent,sigma_bio_S_per_m,R_test_ohm,R_control_ohm,delta_R_ohm
-50.0,0.5,2.214180203719948,2.000000000000008,0.21418020371993984
-25.0,0.75,2.0914270061278253,2.000000000000008,0.09142700612781729
-10.0,0.9,2.0336742894171023,2.000000000000008,0.03367428941709427
0.0,1.0,2.000000000000008,2.000000000000008,0.0
10.0,1.1,1.9695070220502182,2.000000000000008,-0.03049297794978978
25.0,1.25,1.9287679491517893,2.000000000000008,-0.07123205084821871
50.0,1.5,1.871474989507478,2.000000000000008,-0.12852501049252996
