mesh_size_mm,nodes,elements,fem_resistance_ohm,analytical_resistance_ohm,relative_error_percent
1.0,273,484,1.9999999999999951,2.0,2.4424906541753444e-13
0.5,999,1876,2.000000000000017,2.0,8.43769498715119e-13
0.25,3828,7414,1.999999999999973,2.0,1.354472090042691e-12
0.125,15005,29528,1.9999999999999645,2.0,1.7763568394002505e-12
